Date,Confirmed positive,Presumptive positive,Negative,Total,Rate of Change,Acceleration,# Doubles,Today's # Days / Doubling,Avg # Days / Doubling,# tested today,# cases recovered,# active cases,# deaths,"100% of NS population, 80% undoc",# days until 100% NS infected,100% date,New cases,Est. active cases (11 days),# active cases in hospital,# hospital cases in ICU,% of active cases in hospital,Ideal doubling rate of change,Doubling rate to avoid hospital collapse,Predicted # days / doubling,Predicted # total cases,Predicted active cases (11 days),Predicted # active hospital cases,Uh-oh,Estimated free hospital beds,# respirators,# respiratory therapists,# hospital beds,Inpatient days,Occupancy rate,
2020-05-04,985,0,30441,31426,1.44%,0.61%,8,48.4204547394,6.1011955684,510,638,309,38,184720,847,2022-08-29,14,158,6,2,3.80%,-0.4221,32,48.4204547394,985,158,6,,273,240,308,3142,1047310,91.32%,
2020-05-05,991,0,30984,31975,0.61%,-0.82%,8,114.1378849484,6.2143134487,549,652,298,41,184720,1997,2025-10-22,6,141,6,2,4.26%,1.3572,32,114.1378849484,991,141,6,,273,240,308,3142,1047310,91.32%,
2020-05-06,998,0,31541,32539,0.71%,0.10%,8,98.4760035791,6.3261423561,564,661,296,41,184720,1723,2025-01-22,7,133,5,2,3.76%,-0.1372,32,98.4760035791,998,133,5,,273,240,308,3142,1047310,91.32%,
2020-05-07,1007,0,32289,33296,0.90%,0.19%,8,77.2083757123,6.4355544132,757,708,255,44,184720,1351,2024-01-17,9,134,5,2,3.73%,-0.2160,32,77.2083757123,1007,134,5,,273,240,308,3142,1047310,91.32%,
2020-05-08,1008,0,32835,33843,0.10%,-0.80%,8,698.3457270819,6.553612933,547,721,241,46,184720,12218,2053-10-19,1,108,5,2,4.63%,8.0449,32,698.3457270819,1008,108,5,,273,240,308,3142,1047310,91.32%,
2020-05-09,1011,0,33190,34201,0.30%,0.20%,8,233.2438546023,6.6693623744,358,743,221,47,184720,4081,2031-07-11,3,96,7,2,7.29%,-0.6660,32,233.2438546023,1011,96,7,,273,240,308,3142,1047310,91.32%,
2020-05-10,1018,0,33579,34597,0.69%,0.39%,8,100.4564321102,6.7804196293,396,749,222,47,184720,1757,2025-03-02,7,83,9,3,10.84%,-0.5693,35,100.4564321102,1018,83,9,,273,240,308,3142,1047310,91.32%,
2020-05-11,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,1038,79,3,,273,240,308,3142,1047310,91.32%,
2020-05-12,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,1059,96,3,,273,240,308,3142,1047310,91.32%,
2020-05-13,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,1080,109,4,,273,240,308,3142,1047310,91.32%,
2020-05-14,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,1102,117,4,,273,240,308,3142,1047310,91.32%,
2020-05-15,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,1124,133,5,,273,240,308,3142,1047310,91.32%,
2020-05-16,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,1146,148,5,,273,240,308,3142,1047310,91.32%,
2020-05-17,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,1169,162,6,,273,240,308,3142,1047310,91.32%,
2020-05-18,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,1193,185,7,,273,240,308,3142,1047310,91.32%,
2020-05-19,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,1217,206,7,,273,240,308,3142,1047310,91.32%,
2020-05-20,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,1241,223,8,,273,240,308,3142,1047310,91.32%,
2020-05-21,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,1266,227,8,,273,240,308,3142,1047310,91.32%,
2020-05-22,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,1291,232,8,,273,240,308,3142,1047310,91.32%,
2020-05-23,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,1317,237,9,,273,240,308,3142,1047310,91.32%,
2020-05-24,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,1343,241,9,,273,240,308,3142,1047310,91.32%,
2020-05-25,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,1370,246,9,,273,240,308,3142,1047310,91.32%,
2020-05-26,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,1398,251,9,,273,240,308,3142,1047310,91.32%,
2020-05-27,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,1425,256,9,,273,240,308,3142,1047310,91.32%,
2020-05-28,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,1454,261,9,,273,240,308,3142,1047310,91.32%,
2020-05-29,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,1483,266,10,,273,240,308,3142,1047310,91.32%,
2020-05-30,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,1513,272,10,,273,240,308,3142,1047310,91.32%,
2020-05-31,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,1543,277,10,,273,240,308,3142,1047310,91.32%,
2020-06-01,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,1574,283,10,,273,240,308,3142,1047310,91.32%,
2020-06-02,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,1605,288,10,,273,240,308,3142,1047310,91.32%,
2020-06-03,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,1637,294,11,,273,240,308,3142,1047310,91.32%,
2020-06-04,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,1670,300,11,,273,240,308,3142,1047310,91.32%,
2020-06-05,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,1704,306,11,,273,240,308,3142,1047310,91.32%,
2020-06-06,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,1738,312,11,,273,240,308,3142,1047310,91.32%,
2020-06-07,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,1772,318,12,,273,240,308,3142,1047310,91.32%,
2020-06-08,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,1808,325,12,,273,240,308,3142,1047310,91.32%,
2020-06-09,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,1844,331,12,,273,240,308,3142,1047310,91.32%,
2020-06-10,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,1881,338,12,,273,240,308,3142,1047310,91.32%,
2020-06-11,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,1919,345,13,,273,240,308,3142,1047310,91.32%,
2020-06-12,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,1957,352,13,,273,240,308,3142,1047310,91.32%,
2020-06-13,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,1996,359,13,,273,240,308,3142,1047310,91.32%,
2020-06-14,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,2036,366,13,,273,240,308,3142,1047310,91.32%,
2020-06-15,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,2077,373,14,,273,240,308,3142,1047310,91.32%,
2020-06-16,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,2118,381,14,,273,240,308,3142,1047310,91.32%,
2020-06-17,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,2161,388,14,,273,240,308,3142,1047310,91.32%,
2020-06-18,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,2204,396,14,,273,240,308,3142,1047310,91.32%,
2020-06-19,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,2248,404,15,,273,240,308,3142,1047310,91.32%,
2020-06-20,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,2293,412,15,,273,240,308,3142,1047310,91.32%,
2020-06-21,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,2339,420,15,,273,240,308,3142,1047310,91.32%,
2020-06-22,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,2386,429,16,,273,240,308,3142,1047310,91.32%,
2020-06-23,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,2433,437,16,,273,240,308,3142,1047310,91.32%,
2020-06-24,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,2482,446,16,,273,240,308,3142,1047310,91.32%,
2020-06-25,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,2532,455,17,,273,240,308,3142,1047310,91.32%,
2020-06-26,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,2582,464,17,,273,240,308,3142,1047310,91.32%,
2020-06-27,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,2634,473,17,,273,240,308,3142,1047310,91.32%,
2020-06-28,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,2687,483,18,,273,240,308,3142,1047310,91.32%,
2020-06-29,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,2740,492,18,,273,240,308,3142,1047310,91.32%,
2020-06-30,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,2795,502,18,,273,240,308,3142,1047310,91.32%,
2020-07-01,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,2851,512,19,,273,240,308,3142,1047310,91.32%,
2020-07-02,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,2908,522,19,,273,240,308,3142,1047310,91.32%,
2020-07-03,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,2966,533,19,,273,240,308,3142,1047310,91.32%,
2020-07-04,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,3025,544,20,,273,240,308,3142,1047310,91.32%,
2020-07-05,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,3086,554,20,,273,240,308,3142,1047310,91.32%,
2020-07-06,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,3148,566,21,,273,240,308,3142,1047310,91.32%,
2020-07-07,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,3211,577,21,,273,240,308,3142,1047310,91.32%,
2020-07-08,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,3275,588,21,,273,240,308,3142,1047310,91.32%,
2020-07-09,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,3340,600,22,,273,240,308,3142,1047310,91.32%,
2020-07-10,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,3407,612,22,,273,240,308,3142,1047310,91.32%,
2020-07-11,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,3475,624,23,,273,240,308,3142,1047310,91.32%,
2020-07-12,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,3545,637,23,,273,240,308,3142,1047310,91.32%,
2020-07-13,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,3616,650,24,,273,240,308,3142,1047310,91.32%,
2020-07-14,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,3688,663,24,,273,240,308,3142,1047310,91.32%,
2020-07-15,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,3762,676,25,,273,240,308,3142,1047310,91.32%,
2020-07-16,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,3837,689,25,,273,240,308,3142,1047310,91.32%,
2020-07-17,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,3914,703,26,,273,240,308,3142,1047310,91.32%,
2020-07-18,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,3992,717,26,,273,240,308,3142,1047310,91.32%,
2020-07-19,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,4072,732,27,,273,240,308,3142,1047310,91.32%,
2020-07-20,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,4153,746,27,,273,240,308,3142,1047310,91.32%,
2020-07-21,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,4237,761,28,,273,240,308,3142,1047310,91.32%,
2020-07-22,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,4321,776,28,,273,240,308,3142,1047310,91.32%,
2020-07-23,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,4408,792,29,,273,240,308,3142,1047310,91.32%,
2020-07-24,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,4496,808,29,,273,240,308,3142,1047310,91.32%,
2020-07-25,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,4586,824,30,,273,240,308,3142,1047310,91.32%,
2020-07-26,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,4677,840,31,,273,240,308,3142,1047310,91.32%,
2020-07-27,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,4771,857,31,,273,240,308,3142,1047310,91.32%,
2020-07-28,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,4866,874,32,,273,240,308,3142,1047310,91.32%,
2020-07-29,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,4964,892,32,,273,240,308,3142,1047310,91.32%,
2020-07-30,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,5063,910,33,,273,240,308,3142,1047310,91.32%,
2020-07-31,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,5164,928,34,,273,240,308,3142,1047310,91.32%,
2020-08-01,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,5268,946,34,,273,240,308,3142,1047310,91.32%,
2020-08-02,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,5373,965,35,,273,240,308,3142,1047310,91.32%,
2020-08-03,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,5481,985,36,,273,240,308,3142,1047310,91.32%,
2020-08-04,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,5590,1004,36,,273,240,308,3142,1047310,91.32%,
2020-08-05,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,5702,1024,37,,273,240,308,3142,1047310,91.32%,
2020-08-06,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,5816,1045,38,,273,240,308,3142,1047310,91.32%,
2020-08-07,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,5932,1066,39,,273,240,308,3142,1047310,91.32%,
2020-08-08,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,6051,1087,39,,273,240,308,3142,1047310,91.32%,
2020-08-09,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,6172,1109,40,,273,240,308,3142,1047310,91.32%,
2020-08-10,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,6295,1131,41,,273,240,308,3142,1047310,91.32%,
2020-08-11,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,6421,1154,42,,273,240,308,3142,1047310,91.32%,
2020-08-12,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,6550,1177,43,,273,240,308,3142,1047310,91.32%,
2020-08-13,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,6681,1200,44,,273,240,308,3142,1047310,91.32%,
2020-08-14,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,6814,1224,44,,273,240,308,3142,1047310,91.32%,
2020-08-15,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,6951,1249,45,,273,240,308,3142,1047310,91.32%,
2020-08-16,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,7090,1274,46,,273,240,308,3142,1047310,91.32%,
2020-08-17,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,7232,1299,47,,273,240,308,3142,1047310,91.32%,
2020-08-18,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,7376,1325,48,,273,240,308,3142,1047310,91.32%,
2020-08-19,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,7524,1352,49,,273,240,308,3142,1047310,91.32%,
2020-08-20,,,,,,,,,,,,,,184720,,,,,,,,0.0500,35,35,7674,1379,50,,273,240,308,3142,1047310,91.32%,
